shipment_id,shipment_date,origin_region,destination_region,equipment_type,weight_lbs,cubic_feet,lead_time_hours,num_carrier_bids,lane_volume,winning_bid_price
SHP-118260,2024-11-26 00:00:00,MW-1,WC-2,Cargo Van,926.7,10.2,2.8,1.0,177,1506.81
SHP-116869,2024-11-02 00:00:00,WC-1,SC-2,Cargo Van,524.0,3.4,5.1,3.0,129,1186.21
SHP-112396,2024-08-13 00:00:00,SW-1,SE-3,Flatbed,3807.7,26.8,53.7,13.0,45,2482.64
SHP-105248,2024-04-03 00:00:00,MW-1,MW-2,Cargo Van,65.1,1.0,43.6,11.0,321,92.18
SHP-114952,2024-09-28 00:00:00,WC-3,WC-2,Cargo Van,217.1,1.7,3.1,2.0,39,261.69
SHP-109675,2024-06-23 00:00:00,MW-3,SE-2,Cargo Van,596.9,6.4,5.5,4.0,45,949.4
SHP-129093,2025-06-12 00:00:00,SC-2,SE-3,Small Straight,556.5,6.0,13.6,9.0,62,409.79
SHP-109077,2024-06-13 00:00:00,WC-2,SW-2,Cargo Van,1387.1,9.2,47.2,6.0,34,476.33
SHP-101213,2024-01-23 00:00:00,WC-3,MW-2,Cargo Van,313.1,1.4,28.8,10.0,75,304.09
SHP-121880,2025-01-31 00:00:00,MW-2,MW-1,Large Straight,1013.3,9.7,17.5,6.0,274,448.92
SHP-116255,2024-10-22 00:00:00,CN-2,NE-1,Flatbed,8905.1,69.3,24.1,13.0,47,3349.01
SHP-128254,2025-05-27 00:00:00,SE-1,SC-1,Cargo Van,999.0,5.1,2.5,3.0,220,649.29
SHP-125085,2025-04-01 00:00:00,WC-2,MW-3,Sprinter Van,636.4,4.9,50.9,9.0,22,580.43
SHP-101400,2024-01-26 00:00:00,NE-3,SC-2,Large Straight,1025.2,6.3,44.6,10.0,67,939.13
SHP-113811,2024-09-07 00:00:00,NE-1,SE-1,Small Straight,531.8,6.3,2.3,1.0,262,1114.96
SHP-122864,2025-02-19 00:00:00,NE-2,NE-1,Sprinter Van,241.5,1.4,7.7,2.0,233,252.11
SHP-100225,2024-01-05 00:00:00,SE-1,MW-1,Sprinter Van,450.4,3.9,32.2,3.0,293,393.42
SHP-117274,2024-11-09 00:00:00,SE-1,SC-2,Large Straight,1823.5,14.3,5.4,1.0,121,2281.36
SHP-111659,2024-07-30 00:00:00,SE-2,MW-1,Sprinter Van,1111.95,3.9,23.0,6.0,237,455.46
SHP-107533,2024-05-14 00:00:00,MW-2,WC-2,Small Straight,1096.1,6.5,13.7,5.0,96,992.29
SHP-117035,2024-11-04 00:00:00,SC-1,MW-1,Small Straight,984.9,7.0,18.7,4.0,318,996.16
SHP-108739,2024-06-06 00:00:00,SW-1,MW-1,Flatbed,4092.7,40.1,4.8,3.0,191,4488.31
SHP-102569,2024-02-15 00:00:00,SC-2,SC-1,Tractor Trailer,4665.1,41.1,9.4,6.0,138,1846.81
SHP-116491,2024-10-26 00:00:00,NE-3,WC-1,Flatbed,1111.95,10.8,42.1,7.0,87,3335.59
SHP-119149,2024-12-12 00:00:00,SC-2,NW-1,Sprinter Van,239.4,2.3,19.7,8.0,31,779.98
SHP-104832,2024-03-27 00:00:00,SW-2,CN-1,Small Straight,846.2,6.8,13.7,3.0,15,1092.08
SHP-126130,2025-04-19 00:00:00,SE-3,MW-1,Sprinter Van,218.0,2.7,43.0,3.0,127,405.73
SHP-111820,2024-08-02 00:00:00,SC-2,NE-1,Large Straight,1786.4,12.2,6.7,4.0,179,2232.14
SHP-121529,2025-01-25 00:00:00,SC-1,SE-1,Sprinter Van,633.9,5.2,52.1,12.0,207,296.06
SHP-122479,2025-02-11 00:00:00,NE-3,NE-2,Large Straight,5734.7,39.6,19.2,8.0,76,1198.77
SHP-110714,2024-07-12 00:00:00,CN-1,SW-1,Cargo Van,288.8,3.3,19.5,5.0,37,706.92
SHP-102630,2024-02-17 00:00:00,SW-1,MW-2,Sprinter Van,325.3,2.1,5.0,2.0,127,890.27
SHP-121002,2025-01-16 00:00:00,WC-3,SC-2,Large Straight,1111.95,8.8,8.2,4.0,44,370.8132547613317
SHP-121472,2025-01-24 00:00:00,SW-2,MW-2,Small Straight,790.8,8.2,26.9,8.0,41,643.69
SHP-126807,2025-05-01 00:00:00,MW-1,MW-2,Small Straight,1219.7,6.9,4.0,1.0,321,540.78
SHP-109606,2024-06-22 00:00:00,SC-1,CN-2,Tractor Trailer,8104.3,59.9,6.4,4.0,39,12900.2
SHP-127955,2025-05-22 00:00:00,SE-2,NE-3,Small Straight,593.6,4.0,63.4,8.0,66,422.72
SHP-119056,2024-12-11 00:00:00,WC-1,MW-1,Small Straight,630.1,3.2,5.9,2.0,250,1447.15
SHP-109020,2024-06-12 00:00:00,SE-1,MW-2,Cargo Van,214.6,1.7,10.8,5.0,176,442.16
SHP-102725,2024-02-18 00:00:00,SE-2,SC-1,Sprinter Van,275.2,2.1,18.2,2.0,172,308.0
SHP-103966,2024-03-12 00:00:00,SE-2,MW-3,Sprinter Van,268.5,2.2,3.1,2.0,45,771.49
SHP-111256,2024-07-22 00:00:00,NE-1,CN-1,Small Straight,944.1,7.7,5.4,2.0,88,1047.28
SHP-121682,2025-01-28 00:00:00,SW-2,NE-2,Reefer,2017.2,9.0,6.4,1.0,45,4981.52
SHP-100089,2024-01-02 00:00:00,MW-1,NE-1,Tractor Trailer,5987.7,48.3,9.2,2.0,420,4804.03
SHP-115766,2024-10-13 00:00:00,SW-1,NE-2,Tractor Trailer,2792.2,15.2,60.7,12.0,100,3849.91
SHP-125403,2025-04-06 00:00:00,WC-1,NE-2,Small Straight,2036.1,13.9,12.6,1.0,131,2765.59
SHP-117654,2024-11-16 00:00:00,NE-3,SC-1,Sprinter Van,913.9,6.5,5.3,2.0,111,2131.33
SHP-110302,2024-07-05 00:00:00,NE-2,SC-2,Cargo Van,507.1,4.4,9.2,10.0,126,708.25
SHP-114576,2024-09-21 00:00:00,CN-2,NE-3,Sprinter Van,164.7,1.0,13.1,6.0,30,361.74
SHP-123651,2025-03-06 00:00:00,NE-3,SE-1,Small Straight,889.2,9.7,14.2,10.0,91,589.62
