shipment_id,shipment_date,origin_region,destination_region,equipment_type,weight_lbs,cubic_feet,lead_time_hours,num_carrier_bids,lane_volume,winning_bid_price
SHP-118260,2024-11-26 00:00:00,MW-1,WC-2,Cargo Van,926.7,10.2,2.8,1.0,177,1506.81
SHP-116869,2024-11-02 00:00:00,WC-1,SC-2,Cargo Van,524.0,3.4,5.1,3.0,129,1186.21
SHP-105248,2024-04-03 00:00:00,MW-1,MW-2,Cargo Van,65.1,1.0,43.6,11.0,321,92.18
SHP-114952,2024-09-28 00:00:00,WC-3,WC-2,Cargo Van,217.1,1.7,3.1,2.0,39,261.69
SHP-109675,2024-06-23 00:00:00,MW-3,SE-2,Cargo Van,596.9,6.4,5.5,4.0,45,949.4
SHP-129093,2025-06-12 00:00:00,SC-2,SE-3,Small Straight,556.5,6.0,13.6,9.0,62,409.79
SHP-109077,2024-06-13 00:00:00,WC-2,SW-2,Cargo Van,1387.1,9.2,47.2,6.0,34,476.33
SHP-101213,2024-01-23 00:00:00,WC-3,MW-2,Cargo Van,313.1,1.4,28.8,10.0,75,304.09
SHP-121880,2025-01-31 00:00:00,MW-2,MW-1,Large Straight,1013.3,9.7,17.5,6.0,274,448.92
SHP-128254,2025-05-27 00:00:00,SE-1,SC-1,Cargo Van,999.0,5.1,2.5,3.0,220,649.29
SHP-101400,2024-01-26 00:00:00,NE-3,SC-2,Large Straight,1025.2,6.3,44.6,10.0,67,939.13
SHP-113811,2024-09-07 00:00:00,NE-1,SE-1,Small Straight,531.8,6.3,2.3,1.0,262,1114.96
SHP-122864,2025-02-19 00:00:00,NE-2,NE-1,Sprinter Van,241.5,1.4,7.7,2.0,233,252.11
SHP-100225,2024-01-05 00:00:00,SE-1,MW-1,Sprinter Van,450.4,3.9,32.2,3.0,293,393.42
SHP-117274,2024-11-09 00:00:00,SE-1,SC-2,Large Straight,1823.5,14.3,5.4,1.0,121,2281.36
SHP-107533,2024-05-14 00:00:00,MW-2,WC-2,Small Straight,1096.1,6.5,13.7,5.0,96,992.29
SHP-117035,2024-11-04 00:00:00,SC-1,MW-1,Small Straight,984.9,7.0,18.7,4.0,318,996.16
SHP-119149,2024-12-12 00:00:00,SC-2,NW-1,Sprinter Van,239.4,2.3,19.7,8.0,31,779.98
SHP-126130,2025-04-19 00:00:00,SE-3,MW-1,Sprinter Van,218.0,2.7,43.0,3.0,127,405.73
SHP-111820,2024-08-02 00:00:00,SC-2,NE-1,Large Straight,1786.4,12.2,6.7,4.0,179,2232.14
SHP-110714,2024-07-12 00:00:00,CN-1,SW-1,Cargo Van,288.8,3.3,19.5,5.0,37,706.92
SHP-102630,2024-02-17 00:00:00,SW-1,MW-2,Sprinter Van,325.3,2.1,5.0,2.0,127,890.27
SHP-121472,2025-01-24 00:00:00,SW-2,MW-2,Small Straight,790.8,8.2,26.9,8.0,41,643.69
SHP-126807,2025-05-01 00:00:00,MW-1,MW-2,Small Straight,1219.7,6.9,4.0,1.0,321,540.78
SHP-119056,2024-12-11 00:00:00,WC-1,MW-1,Small Straight,630.1,3.2,5.9,2.0,250,1447.15
SHP-109020,2024-06-12 00:00:00,SE-1,MW-2,Cargo Van,214.6,1.7,10.8,5.0,176,442.16
SHP-102725,2024-02-18 00:00:00,SE-2,SC-1,Sprinter Van,275.2,2.1,18.2,2.0,172,308.0
SHP-103966,2024-03-12 00:00:00,SE-2,MW-3,Sprinter Van,268.5,2.2,3.1,2.0,45,771.49
SHP-111256,2024-07-22 00:00:00,NE-1,CN-1,Small Straight,944.1,7.7,5.4,2.0,88,1047.28
SHP-125403,2025-04-06 00:00:00,WC-1,NE-2,Small Straight,2036.1,13.9,12.6,1.0,131,2765.59
SHP-117654,2024-11-16 00:00:00,NE-3,SC-1,Sprinter Van,913.9,6.5,5.3,2.0,111,2131.33
SHP-110302,2024-07-05 00:00:00,NE-2,SC-2,Cargo Van,507.1,4.4,9.2,10.0,126,708.25
SHP-114576,2024-09-21 00:00:00,CN-2,NE-3,Sprinter Van,164.7,1.0,13.1,6.0,30,361.74
SHP-123651,2025-03-06 00:00:00,NE-3,SE-1,Small Straight,889.2,9.7,14.2,10.0,91,589.62
SHP-108002,2024-05-23 00:00:00,NE-1,MW-2,Large Straight,2065.8,17.8,5.4,1.0,202,1949.88
SHP-124618,2025-03-23 00:00:00,SE-2,MW-1,Small Straight,1014.6,7.8,30.4,8.0,237,906.37
SHP-128106,2025-05-24 00:00:00,MW-1,SW-1,Small Straight,770.1,6.7,10.9,3.0,199,970.34
SHP-111913,2024-08-04 00:00:00,SC-2,NW-1,Tractor Trailer,1312.0,8.4,12.7,6.0,31,3018.06
SHP-106901,2024-05-03 00:00:00,NE-3,MW-2,Small Straight,2138.3,24.1,9.2,5.0,90,1458.39
SHP-113115,2024-08-26 00:00:00,MW-2,NE-3,Large Straight,2500.3,19.7,15.2,7.0,87,1392.39
SHP-125426,2025-04-07 00:00:00,NE-1,WC-1,Small Straight,2084.0,20.7,25.6,7.0,225,1643.79
SHP-106537,2024-04-27 00:00:00,SC-2,SC-1,Small Straight,614.4,5.4,17.2,1.0,138,287.96
SHP-106067,2024-04-18 00:00:00,SE-2,CN-1,Sprinter Van,548.7,5.9,7.2,1.0,41,770.83
SHP-118771,2024-12-05 00:00:00,WC-3,NE-1,Large Straight,678.5,3.3,41.4,10.0,95,1310.95
SHP-109825,2024-06-26 00:00:00,WC-3,WC-1,Sprinter Van,281.9,2.4,13.3,7.0,71,211.78
SHP-104262,2024-03-18 00:00:00,MW-1,NE-3,Sprinter Van,345.7,3.2,44.9,8.0,159,330.09
SHP-122678,2025-02-15 00:00:00,WC-1,NW-1,Reefer,1703.2,9.6,4.9,2.0,28,2242.45
SHP-107707,2024-05-18 00:00:00,WC-2,NE-2,Cargo Van,336.1,2.1,30.1,6.0,83,737.5
SHP-112734,2024-08-20 00:00:00,SE-1,MW-3,Sprinter Van,483.1,4.6,13.9,8.0,75,490.68
SHP-100587,2024-01-11 00:00:00,NE-2,SE-1,Reefer,1723.0,16.1,19.1,4.0,161,1646.81
